2022-07-20 13:24:40 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 49.
2022-07-20 13:24:45 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 54.
2022-07-20 13:24:50 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 59.
2022-07-20 13:24:55 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:00 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:05 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:10 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:15 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:20 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:30 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:35 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:40 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:45 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:50 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:25:55 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:26:00 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:26:05 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:26:10 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:26:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 13:26:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 13:26:30 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:26:35 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:26:40 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:26:45 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:26:50 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 13:26:55 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 18.
2022-07-20 13:27:00 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 18.
2022-07-20 13:27:05 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 18.
2022-07-20 13:27:10 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 18.
2022-07-20 13:27:15 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 13:27:20 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:27:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:27:30 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:27:35 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:27:40 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:27:45 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:27:50 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:27:55 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:00 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:05 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:10 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:15 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:20 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:30 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:35 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:40 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:45 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:50 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:28:55 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:29:00 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:29:05 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:29:10 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 13:29:15 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 15.
2022-07-20 14:10:46 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 14:10:46 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 14:10:51 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 14:10:56 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 14:11:01 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 14:11:06 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 19.
2022-07-20 14:11:11 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:11:16 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:11:21 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:11:26 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:11:31 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:11:36 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:11:41 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:11:46 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:11:51 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:11:56 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:12:09 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 14:12:09 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 14:12:14 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:12:19 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:12:24 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:12:29 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 11.
2022-07-20 14:12:34 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:12:39 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:12:44 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
